Project_ID,Project_Name,Country,City,Contractor_Name,Equipment_ID,Equipment_Type,Usage_Hours,Downtime_Hours,Maintenance_Status,Material_Type,Quantity_Used,Unit_Cost,Supplier_Name,Project_Budget,Actual_Cost,Currency,Payment_Status,Start_Date,End_Date,Actual_Completion_Date,Delay_Days
KEN 10000,Kisumu Waterfront Rehab,Kenya,Kisumu,PrimeSpan Africa,EQ-4140,Loader,132.2,43.2,running,Cement,120 bags,144467.04,Cemex Supply,18770808.29,17783106.91,ZAR,,06/07/2023,03/06/2024,2024/07/09 00:00,36
ZAF_10001,Durban Freight Corridor,South Africa,Port Elizabeth,Kubwa Engineering,,Grader,112.7,61.5, needs repair,Sand,169.07 tons,381821.56,Nile Quarrys,31046949.31,43941777.34, NGN,Pending,04/29/25,2025/06/26 00:00,,4
ZAF_10001,Port Elizabeth Harbour Road,South Africa,Polokwane,KENTECH ENG,EQ-9788,Loader,87.1,,needs repair,Steel,36 bags,3964440.92,LAGOS IND. SUPPLY,3407931.39,4149611.85,GHS,Pending,28-Nov-2023,06/10/2024,07-Feb-2025,124
NGA10003,Lagos Expressway Upgrade,Nigeria,Kano,Prime Span Africa,EQ-6436,Grader,1854.0,16.9,ok,Limestone,394419kg,"182,920",Lagos Ind. Supply,182894104.48,171381605.6,USD,paid,11/29/24,2025-05-24,16/11/2025,176
KEN 10004,Mombasa Port Access Road,Kenya,Thika,Sahara Build Company,EQ-7465,Excavator,215.2,67.4,service due,Steel,317.5 tons,836635.9,TerraMix Logistics,"ZAR 33,443,818",47880847.85,NGN,Paid,10/27/23,27/03/2025,,4
GHA-0005,Cape Coast Housing Scheme,Ghana,Tamale,Sahara Build Company,EQ-9240,Excavator,-5.7,12.2, needs repair,Sand,1.39 tons,"USD 113,426.80",Terramix Logistcs,37745054.9,49286294.53,ZAR,PARTIAL,2024-03-20,23/10/2024,24/02/2025,124
KEN-0006,Nakuru Junction Upgrade,Kenya,Thika,Sahara Build Co,EQ-7222,Bulldozer,59.2,13.9,Needs Repair,Sand,117 bags,"KES 2,379,757.94",Cemex Supply,,15571224.93,KES,PARTIAL,02/04/24,07/23/24,2024-08-24,32
NGA-0007,lagos expressway upgrade,Nigeria,Lagos,Ubora Construction,EQ-3193,Crane,158.0,11.3,Serviced,Gravel,224917kg,16425196.3,WestStone Material,26661497.03,41128501.6,USD,partial,25-Oct-2025,07/01/2026,2026/01/09 00:00,2
KEN_10008,Thika Bridge Works,Kenya,Nakuru,DeltaCore Builders,EQ-6359,Grader,-15.0,9.3,degraded,Gravel,171.27 tons,2893641.97,Lagos Ind. Supply,23197363.47,34374198.79,KES,Paid,23/02/2023,2024/04/24 00:00,2024-10-12,-45
NGA_10009,Lagos Expressway Upgrade,Nigeria,Kano,DeltaCore Builders,EQ-1403,Grader,70.3,22.3,Needs Repair,Sand,51 bags,"12,361,488",Savanna Aggregates,unknown,39479976.97,USD,Pending,2025/07/12 00:00,2025/09/03 00:00,,-15
